source_pdf,source_current_month,source_previous_month,source_current_year,source_previous_year,Sr. No.,Crime Heads,Current Month R,Current Month D,Previous Month R,Previous Month D,Current Year R,Current Year D,% of Detec- tion,Previous Year R,Previous Year D,% of Detec- tion
1,01-2018,12-2017,01-2018,01-2017,1,Rape u/s 376 IPC (i) Minor,41,37,32,30,41,37,90,20,16,80
1,01-2018,12-2017,01-2018,01-2017,,(ii) Major,23,12,25,20,23,12,52,15,10,67
1,01-2018,12-2017,01-2018,01-2017,,Total,64,49,57,50,64,49,77,35,26,74
1,01-2018,12-2017,01-2018,01-2017,2,Kidnapping of Women (i) Minor,122,72,102,55,122,72,59,97,45,46
1,01-2018,12-2017,01-2018,01-2017,,(ii) Major,1,,2,2,1,,,1,1,100
1,01-2018,12-2017,01-2018,01-2017,,Total,123,72,104,57,123,72,59,98,46,47
1,01-2018,12-2017,01-2018,01-2017,3,Outraging Modesty of Women u/s 354 IPC,240,164,224,157,240,164,68,193,137,71
1,01-2018,12-2017,01-2018,01-2017,4,Intended insult to Modesty of Women u/s 509 IPC.,49,22,57,34,49,22,45,42,17,40
1,01-2018,12-2017,01-2018,01-2017,5,Dowry Prohibition Act.,1,,,,1,,,,,
1,01-2018,12-2017,01-2018,01-2017,6,(a) Dowry related murder u/s 302 IPC,,,,,,,,,,
1,01-2018,12-2017,01-2018,01-2017,,(b) Dowry Death u/s 304-B IPC,1,1,1,1,1,1,100,2,2,100
1,01-2018,12-2017,01-2018,01-2017,,(C) Dowry related suicides u/s 306 IPC,2,1,1,1,2,1,50,4,4,100
1,01-2018,12-2017,01-2018,01-2017,,(D) Dowry related Mental/Physical Harrasment u/s 498-A IPC,49,4,39,3,49,4,8,51,7,14
1,01-2018,12-2017,01-2018,01-2017,7,(a) Murder due to other reasons u/s 302 IPC,1,,2,1,1,,,2,2,100
1,01-2018,12-2017,01-2018,01-2017,,(b) Suicides due to other reasons u/s 306 IPC,2,1,2,2,2,1,50,2,1,50
1,01-2018,12-2017,01-2018,01-2017,,(c) Mental/Physical Harrasments due to other reasons u/s 498-A IPC,5,,1,,5,,,1,,
1,01-2018,12-2017,01-2018,01-2017,8,No of cases registered Rape with POCSO,41,37,32,30,41,37,90,20,16,80
1,01-2018,12-2017,01-2018,01-2017,,No. of cases registered Molestation with POCSO,53,40,43,40,53,40,75,29,28,97
1,01-2018,12-2017,01-2018,01-2017,,No. of cases registered Eve-Teasing with POCSO,4,3,3,1,4,3,75,2,2,100
1,01-2018,12-2017,01-2018,01-2017,,Other IPC with POCSO,7,7,5,2,7,7,100,3,3,100
1,01-2018,12-2017,01-2018,01-2017,,PITA With POSCO (Excluding Rape),,,1,1,,,,2,1,50
1,01-2018,12-2017,01-2018,01-2017,Total Crime Against Women,,537,314,488,306,537,314,58,430,242,56
2,02-2018,01-2018,01-2018,01-2017,1,Rape u/s 376 IPC (i) Minor,35,28,41,37,80,71,89,43,41,95
2,02-2018,01-2018,01-2018,01-2017,,(ii) Major,22,9,23,12,46,26,57,35,21,60
2,02-2018,01-2018,01-2018,01-2017,,Total,57,37,64,49,126,97,77,78,62,79
2,02-2018,01-2018,01-2018,01-2017,2,Kidnapping of Women (i) Minor,125,88,122,72,244,169,69,201,83,41
2,02-2018,01-2018,01-2018,01-2017,,(ii) Major,,,1,,1,1,100,1,1,100
2,02-2018,01-2018,01-2018,01-2017,,Total,125,88,123,72,245,170,69,202,84,42
2,02-2018,01-2018,01-2018,01-2017,3,Outraging Modesty of Women u/s 354 IPC,207,142,240,164,446,322,72,364,252,69
2,02-2018,01-2018,01-2018,01-2017,4,Intended insult to Modesty of Women u/s 509 IPC.,42,17,49,22,92,44,48,72,34,47
2,02-2018,01-2018,01-2018,01-2017,5,Dowry Prohibition Act.,1,,1,,2,,,,,
2,02-2018,01-2018,01-2018,01-2017,6,(a) Dowry related murder u/s 302 IPC,,,,,,,,,,
2,02-2018,01-2018,01-2018,01-2017,,(b) Dowry Death u/s 304-B IPC,2,1,1,1,3,2,67,2,2,100
2,02-2018,01-2018,01-2018,01-2017,,(C) Dowry related suicides u/s 306 IPC,1,,2,1,3,2,67,9,8,89
2,02-2018,01-2018,01-2018,01-2017,,(D) Dowry related Mental/Physical Harrasment u/s 498-A IPC,42,6,49,4,90,12,13,89,16,18
2,02-2018,01-2018,01-2018,01-2017,7,(a) Murder due to other reasons u/s 302 IPC,1,,1,,2,,,6,5,83
2,02-2018,01-2018,01-2018,01-2017,,(b) Suicides due to other reasons u/s 306 IPC,2,1,2,1,4,2,50,3,2,67
2,02-2018,01-2018,01-2018,01-2017,,(c) Mental/Physical Harrasments due to other reasons u/s 498-A IPC,1,,5,,6,,,3,,
2,02-2018,01-2018,01-2018,01-2017,8,No of cases registered Rape with POCSO,35,28,41,37,80,71,89,43,41,95
2,02-2018,01-2018,01-2018,01-2017,,No. of cases registered Molestation with POCSO,46,32,53,40,89,66,74,38,37,97
2,02-2018,01-2018,01-2018,01-2017,,No. of cases registered Eve-Teasing with POCSO,11,10,4,3,27,24,89,16,16,100
2,02-2018,01-2018,01-2018,01-2017,,Other IPC with POCSO,3,3,7,7,13,13,100,3,3,100
2,02-2018,01-2018,01-2018,01-2017,,PITA With POSCO (Excluding Rape),1,,,,1,,,1,1,100
2,02-2018,01-2018,01-2018,01-2017,Total Crime Against Women,,481,292,537,314,1019,651,64,828,465,56
